Close-Approach (CA) Date,CA DistanceNominal (au),CA DistanceMinimum (au),V relative(km/s),V infinity(km/s),H(mag),Rarity,Mean Diameter,Close-Approach Year,CA DistanceNominal (au) Z-score,CA DistanceNominal (au) Outlier,CA DistanceMinimum (au) Z-score,CA DistanceMinimum (au) Outlier,V relative(km/s) Z-score,V relative(km/s) Outlier,V infinity(km/s) Z-score,V infinity(km/s) Outlier,H(mag) Z-score,H(mag) Outlier,Mean Diameter Z-score,Mean Diameter Outlier
2023,0.02518,0.02509,5.01,4.99,26.6,0,21.0,2023,0.28894336058038755,False,0.31427228978341265,False,-1.0957176821834813,False,-1.0851059638705873,False,0.25881409065169475,False,-0.31500534865413654,False
2023,0.00291,0.0029,8.93,8.82,27.2,0,15.9,2023,-1.2911282087396339,False,-1.2762096437232804,False,-0.32691041246339375,False,-0.33639915369921874,False,0.5938878063678374,False,-0.41574574282805055,False
2023,0.04008,0.03996,6.33,6.32,26.0,0,27.5,2023,1.346108442882512,False,1.3800887093978573,False,-0.8368336015634518,False,-0.8251111707823575,False,-0.07625962506444992,False,-0.18661072862855993,False
2023,0.00427,0.00426,13.1,13.05,26.8,0,19.0,2023,-1.1946352884758158,False,-1.1787308050766332,False,0.49092793313169936,False,0.4905015792054521,False,0.3705053292237423,False,-0.3545113855850832,False
2023,0.00561,0.00558,24.55,24.53,25.5,1,34.0,2023,-1.0995613817452892,False,-1.0841189910960638,False,2.736551208206955,False,2.7346671616512253,False,-0.3554877214945698,False,-0.05821610860298328,False
2023,0.01806,0.01796,13.31,13.3,26.4,0,23.0,2023,-0.2162254572713661,False,-0.196774856944966,False,0.5321140368667042,False,0.539372780913766,False,0.1471228520796452,False,-0.2754993117231899,False
2023,0.02058,0.02039,22.75,22.75,24.0,1,69.5,2023,-0.03742975207664424,False,-0.02260310848073611,False,2.383527461906915,False,2.3867042054880305,False,-1.1931720107849295,False,0.6430160469213199,False
2023,0.0303,0.0301,15.8,15.79,25.0,0,42.5,2023,0.6522108251029969,False,0.6733671292096645,False,1.0204635525817598,False,1.0261299499285719,False,-0.6347158179246897,False,0.10968454835354002,False
2023,0.01737,0.01737,11.02,11.0,25.3,0,37.0,2023,-0.26518142416992085,False,-0.23906347076961446,False,0.0829893818516529,False,0.08975772519727818,False,-0.46717896006661735,False,0.0010429467934367097,False
2023,0.01185,0.01184,4.45,4.4,26.8,0,18.0,2023,-0.6568291593583591,False,-0.6354296308548787,False,-1.2055472921434938,False,-1.200441999902208,False,0.3705053292237423,False,-0.37426440405055655,False
2023,0.0426,0.04244,2.88,2.86,25.4,0,36.0,2023,1.524904148077234,False,1.5578442386946845,False,-1.5134624486385289,False,-1.5014886024254217,False,-0.4113333407805946,False,-0.01871007167203662,False
2023,0.00819,0.00812,9.16,9.13,26.2,0,25.5,2023,-0.9165086359506931,False,-0.9020629248001196,False,-0.28180182265838855,False,-0.2757988635809095,False,0.03543161350759764,False,-0.22611676555950658,False
2023,0.03849,0.03773,8.25,8.24,25.8,0,30.5,2023,1.2332968669858428,False,1.2202520842640163,False,-0.46027493884340887,False,-0.44978034166250697,False,-0.1879508636364975,False,-0.12735167323213992,False
2023,0.0483,0.0481,7.0,6.99,26.0,0,27.5,2023,1.9293230050652954,False,1.9635282289447016,False,-0.7054303182184368,False,-0.6941363502040764,False,-0.07625962506444992,False,-0.18661072862855993,False
2023,0.02097,0.02094,8.35,8.33,25.7,0,31.0,2023,-0.009758988177461252,False,0.016818480677834605,False,-0.4406625084934067,False,-0.432186709047514,False,-0.24379648292252226,False,-0.11747516399940326,False
2023,0.04093,0.04092,11.62,11.61,22.9,0,116.0,2023,1.4064165180473986,False,1.4488973013837256,False,0.20066396395166622,False,0.20900345736556392,False,-1.807473822931194,False,1.5615314055658298,False
2023,0.02009,0.02003,12.08,12.07,26.0,0,27.0,2023,-0.07219558364228465,False,-0.0484063304754368,False,0.29088114356167666,False,0.2989264685088616,False,-0.07625962506444992,False,-0.19648723786129657,False
2023,0.01717,0.01713,10.78,10.77,26.2,0,25.5,2023,-0.2793715595028352,False,-0.25626561876608167,False,0.0359195490116475,False,0.044796219625629324,False,0.03543161350759764,False,-0.22611676555950658,False
2023,0.01204,0.01194,16.28,16.27,27.4,0,13.8,2023,-0.6433485307920903,False,-0.6282620691896841,False,1.1146032182617707,False,1.1199626572085346,False,0.705579044939885,False,-0.4572270816055445,False
2023,0.04522,0.04514,8.63,8.62,24.2,0,62.5,2023,1.7107949209384132,False,1.75136840365494,False,-0.38574770351340026,False,-0.3754961150658701,False,-1.0814807722128819,False,0.5047449176630066,False
2023,0.00062,0.00062,18.83,18.59,29.2,0,6.199999999999999,2023,-1.4536052583015042,False,-1.4396300496897185,False,1.614720192186827,False,1.5734874090616875,False,1.710800192088317,False,-0.6073500219431418,False
2023,0.00259,0.00258,15.5,15.43,28.4,0,9.3,2023,-1.313832425272297,False,-1.2991458410519034,False,0.961626261531753,False,0.9557554194686,False,1.2640352378001247,False,-0.5461156647001745,False
2023,0.01725,0.01714,18.02,18.01,26.0,0,27.5,2023,-0.2736955053696694,False,-0.2555488625995622,False,1.4558595063518092,False,1.4601062210983995,False,-0.07625962506444992,False,-0.18661072862855993,False
2023,0.02782,0.0278,2.36,2.32,26.3,0,23.0,2023,0.476253146974858,False,0.5085132109101875,False,-1.6154470864585406,False,-1.6070503981153796,False,0.09127723279362242,False,-0.2754993117231899,False
